date,timeframe_min,entry_time,exit_time,side,entry,exit,pnl_pts,exit_reason,or_high,or_low,or_range,vix_at_or,vix_bucket
2015-06-24,60,2015-06-24 13:06:01,2015-06-24 15:07:00,long,8414.25,8376.25,-38.0,SL,8414.25,8376.25,38.0,15.25,>15
2015-06-25,60,2015-06-25 10:15:00,2015-06-25 15:25:00,long,8368.4,8407.7,39.30000000000109,EOD,8368.4,8330.3,38.100000000000364,15.9,>15
2015-06-26,60,2015-06-26 12:11:00,2015-06-26 15:25:00,short,8353.0,8381.75,-28.75,EOD,8408.35,8353.0,55.350000000000364,15.99,>15
2015-06-29,60,2015-06-29 10:51:00,2015-06-29 13:07:01,short,8207.1,8247.05,-39.94999999999891,SL,8247.05,8207.1,39.94999999999891,17.73,>15
2015-06-30,60,2015-06-30 14:57:00,2015-06-30 15:25:01,long,8356.3,8371.2,14.900000000001455,EOD,8356.3,8299.1,57.19999999999891,17.51,>15
2015-07-01,60,2015-07-01 10:26:01,2015-07-01 15:25:00,long,8425.8,8452.25,26.450000000000728,EOD,8425.8,8370.15,55.649999999999636,16.36,>15
2015-07-02,60,2015-07-02 11:35:01,2015-07-02 14:26:00,long,8477.1,8437.4,-39.70000000000073,SL,8477.1,8437.4,39.70000000000073,15.54,>15
2015-07-03,60,2015-07-03 10:16:00,2015-07-03 15:25:01,long,8497.45,8489.75,-7.700000000000728,EOD,8497.45,8424.5,72.95000000000073,15.79,>15
2015-07-06,60,2015-07-06 12:35:00,2015-07-06 15:25:00,long,8443.45,8522.15,78.69999999999891,EOD,8443.45,8386.15,57.30000000000109,16.88,>15
2015-07-07,60,2015-07-07 11:18:00,2015-07-07 15:25:01,short,8524.2,8515.5,8.700000000000728,EOD,8561.1,8524.2,36.899999999999636,15.81,>15
2015-07-08,60,2015-07-08 10:34:01,2015-07-08 10:50:00,long,8457.15,8418.0,-39.149999999999636,SL,8457.15,8418.0,39.149999999999636,16.95,>15
2015-07-09,60,2015-07-09 13:17:01,2015-07-09 15:25:00,short,8343.75,8331.1,12.649999999999636,EOD,8400.0,8343.75,56.25,17.96,>15
2015-07-10,60,2015-07-10 10:14:01,2015-07-10 15:07:00,short,8345.0,8375.9,-30.899999999999636,SL,8375.9,8345.0,30.899999999999636,17.24,>15
2015-07-13,60,2015-07-13 11:00:01,2015-07-13 12:32:01,short,8362.3,8403.65,-41.350000000000364,SL,8403.65,8362.3,41.350000000000364,17.61,>15
2015-07-14,60,2015-07-14 11:10:00,2015-07-14 14:02:01,short,8433.45,8470.6,-37.149999999999636,SL,8470.6,8433.45,37.149999999999636,16.46,>15
2015-07-15,60,2015-07-15 10:46:00,2015-07-15 15:25:00,long,8518.7,8524.25,5.549999999999272,EOD,8518.7,8463.4,55.30000000000109,15.66,>15
2015-07-16,60,2015-07-16 11:22:01,2015-07-16 15:25:01,long,8575.4,8612.65,37.25,EOD,8575.4,8543.85,31.549999999999272,15.27,>15
2015-07-20,60,2015-07-20 10:20:01,2015-07-20 15:25:00,short,8571.35,8601.35,-30.0,EOD,8623.9,8571.35,52.54999999999927,15.31,>15
2015-07-21,60,2015-07-21 14:27:00,2015-07-21 15:25:00,short,8588.7,8531.35,57.350000000000364,EOD,8646.7,8588.7,58.0,14.99,12-15
2015-07-22,60,2015-07-22 10:21:00,2015-07-22 15:25:00,long,8575.55,8629.9,54.350000000000364,EOD,8575.3,8499.55,75.75,15.24,>15
2015-07-23,60,2015-07-23 11:26:00,2015-07-23 15:25:00,short,8621.1,8590.75,30.350000000000364,EOD,8654.6,8621.1,33.5,15.42,>15
2015-07-24,60,2015-07-24 13:20:00,2015-07-24 15:25:00,short,8561.6,8521.95,39.649999999999636,EOD,8588.15,8561.6,26.549999999999272,15.64,>15
2015-07-27,60,2015-07-27 10:28:00,2015-07-27 15:25:01,short,8425.45,8365.35,60.100000000000364,EOD,8492.1,8425.45,66.64999999999964,16.01,>15
2015-07-28,60,2015-07-28 10:20:00,2015-07-28 13:36:00,long,8391.6,8345.05,-46.55000000000109,SL,8391.6,8345.05,46.55000000000109,15.9,>15
2015-07-29,60,2015-07-29 13:06:00,2015-07-29 15:25:01,long,8374.2,8376.7,2.5,EOD,8374.2,8338.55,35.650000000001455,16.06,>15
2015-07-30,60,2015-07-30 10:19:00,2015-07-30 15:01:00,long,8436.1,8409.7,-26.399999999999636,SL,8436.1,8409.7,26.399999999999636,15.22,>15
2015-07-31,60,2015-07-31 11:00:01,2015-07-31 15:25:00,long,8488.75,8531.95,43.20000000000073,EOD,8488.75,8449.25,39.5,15.16,>15
2015-08-03,60,2015-08-03 11:44:00,2015-08-03 15:25:00,long,8560.85,8536.1,-24.75,EOD,8560.85,8510.65,50.20000000000073,15.43,>15
2015-08-04,60,2015-08-04 10:34:00,2015-08-04 15:25:00,short,8502.45,8524.5,-22.049999999999272,EOD,8564.35,8502.45,61.899999999999636,15.59,>15
2015-08-05,60,2015-08-05 13:48:00,2015-08-05 15:25:00,long,8587.4,8564.05,-23.350000000000364,EOD,8587.4,8547.4,40.0,14.76,12-15
2015-08-06,60,2015-08-06 11:51:00,2015-08-06 13:19:01,short,8552.45,8589.4,-36.94999999999891,SL,8589.4,8552.45,36.94999999999891,14.9,12-15
2015-08-07,60,2015-08-07 11:15:01,2015-08-07 15:25:00,short,8569.5,8568.4,1.1000000000003638,EOD,8595.65,8569.5,26.149999999999636,14.99,12-15
2015-08-10,60,2015-08-10 10:27:00,2015-08-10 15:05:00,long,8619.3,8564.85,-54.44999999999891,SL,8619.3,8564.85,54.44999999999891,15.42,>15
2015-08-11,60,2015-08-11 11:27:00,2015-08-11 15:25:01,short,8494.7,8463.4,31.30000000000109,EOD,8555.75,8494.7,61.04999999999927,15.67,>15
2015-08-12,60,2015-08-12 13:12:00,2015-08-12 15:25:01,short,8382.5,8354.95,27.549999999999272,EOD,8446.7,8382.5,64.20000000000073,17.02,>15
2015-08-13,60,2015-08-13 12:13:00,2015-08-13 15:25:00,short,8371.95,8368.7,3.25,EOD,8429.15,8371.95,57.19999999999891,16.93,>15
2015-08-14,60,2015-08-14 10:19:00,2015-08-14 11:05:01,long,8408.15,8461.65,53.5,TP,8408.15,8381.4,26.75,16.71,>15
2015-08-18,60,2015-08-18 10:23:00,2015-08-18 10:52:01,long,8522.15,8501.85,-20.299999999999272,SL,8522.15,8501.85,20.299999999999272,16.14,>15
2015-08-19,60,2015-08-19 10:23:00,2015-08-19 15:25:00,long,8468.05,8495.25,27.200000000000728,EOD,8468.05,8426.55,41.5,16.75,>15
2015-08-20,60,2015-08-20 12:47:00,2015-08-20 15:25:00,short,8453.85,8378.25,75.60000000000036,EOD,8501.0,8453.85,47.149999999999636,16.78,>15
2015-08-21,60,2015-08-21 14:52:00,2015-08-21 15:25:01,long,8298.7,8279.25,-19.450000000000728,EOD,8298.7,8225.25,73.45000000000073,17.81,>15
2015-08-24,60,2015-08-24 10:26:00,2015-08-24 14:14:00,short,7992.7,7860.2,132.5,TP,8058.95,7992.7,66.25,21.65,>15
2015-08-25,60,2015-08-25 10:50:00,2015-08-25 15:25:00,short,7797.95,7902.65,-104.69999999999982,EOD,7924.25,7797.95,126.30000000000018,28.7,>15
2015-08-26,60,2015-08-26 10:14:01,2015-08-26 15:10:00,long,7889.4,7786.249999999999,-103.15000000000055,SL,7889.35,7786.2,103.15000000000055,26.13,>15
2015-08-27,60,2015-08-27 13:05:01,2015-08-27 15:25:01,long,7922.05,7945.25,23.199999999999818,EOD,7922.05,7862.6,59.44999999999982,22.65,>15
2015-08-28,60,2015-08-28 10:25:00,2015-08-28 13:22:00,long,8084.25,8024.4,-59.850000000000364,SL,8084.25,8024.4,59.850000000000364,20.71,>15
2015-08-31,60,2015-08-31 11:01:00,2015-08-31 14:11:01,long,8006.7,7954.85,-51.849999999999454,SL,8006.7,7954.85,51.849999999999454,24.41,>15
